anxiety,fear,nervousness,sadness,suffering,shame,Insight,saran,Saran
1,1,1,0,0,0,"Kamu lagi cemas dikit, takutnya juga nggak terlalu besar, dan gelisahnya juga santai aja. Kayaknya sih, itu cuma kecemasan biasa yang akan lewat aja kok.",,Coba deh tarik napas dalam-dalam dan rencanain hal-hal kecil biar lebih siap dan nggak cemas lagi.
1,1,2,0,0,0,"Cemasnya dikit, takutnya juga nggak parah, cuma gelisahnya agak lebih, ya? Kamu mungkin lagi mikirin hal kecil yang bisa jadi gede di kepala.",,"Coba mindfulness atau ngobrol sama temen deh, pasti bisa bantu biar lebih tenang."
1,1,3,0,0,0,"Cemas dikit, takut sedikit, tapi gelisah banget? Mungkin lagi mikirin hal yang belum tentu kejadian, tapi kelihatan besar di kepala.",,Ngobrol sama mentor atau konselor bisa bantu banget untuk ngurangin ketegangan itu.
1,2,1,0,0,0,"Cemas sedikit, takut agak gede, tapi gelisahnya dikit aja. Mungkin kamu lagi mikir terlalu banyak dan ngerasa ketakutan yang sebenarnya nggak perlu.",,"Fokus ke langkah kecil aja, coba deh ngomong sama temen biar kamu bisa lebih ngerti dan nggak kebanyakan mikir."
1,2,2,0,0,0,"Cemas dikit, takutnya agak ada, dan gelisahnya juga lebih. Itu berarti kamu lagi mikir hal-hal yang bisa aja ngebuat kamu merasa terjebak.",,"Fokus ke hal-hal yang bisa kamu kontrol aja dulu, coba ngobrol sama temen atau rekan kerja biar bisa bantu kamu lebih fokus."
1,2,3,0,0,0,"Cemasnya sih dikit, takut agak gede, dan gelisahnya udah tinggi banget. Itu berarti kamu mungkin lagi ngerasa overwhelmed banget sama perasaan ini.",,"Coba deh konsultasi sama profesional, biar kamu bisa lebih tau gimana cara atasin ketakutan yang ada."
1,3,1,0,0,0,"Cemas dikit, takutnya gede banget, tapi gelisahnya masih agak ringan. Ini bisa jadi karena kamu takut sama hal yang nggak jelas.",,Mulai planning lebih terstruktur dan ngobrol sama orang yang lebih berpengalaman buat bantu kamu atasi ketakutan itu.
1,3,2,0,0,0,"Cemas dikit, takutnya tinggi banget, dan gelisahnya juga sedang. Mungkin kamu lagi mikirin hal besar yang belum tentu kejadian, jadi nambahin ketegangan.",,Coba deh ngobrol sama orang lain buat ngurangin ketakutan yang kamu rasain dan nambahin perspektif baru.
1,3,3,0,0,0,"Cemas dikit, takut gede banget, gelisahnya tinggi. Ini emang bisa bikin kamu merasa tertekan banget dan terhambat.",,Pertimbangkan buat konsultasi sama psikolog atau terapis biar bisa lebih fokus dan ngurangin ketakutan yang nggak perlu itu.
2,1,1,0,0,0,"Cemasnya lumayan, takutnya dikit, gelisahnya juga sedikit. Mungkin kamu lagi ngerasa khawatir, tapi nggak ada yang perlu ditakutin banget sih.",,"Coba deh take a break, tarik napas dalam-dalam, atau ngobrol sama orang yang bisa bantu kamu relax."
2,1,2,0,0,0,"Cemasnya lumayan, takutnya dikit, dan gelisahnya agak ada. Kamu mungkin lagi mikirin hal besar, tapi ternyata nggak separah yang kamu kira.",,"Menulis atau mindfulness bisa jadi cara yang oke buat ngurangin ketegangan. Cobalah dulu, pasti enakan."
2,1,3,0,0,0,"Cemasnya agak tinggi, takutnya dikit, gelisahnya parah. Itu sih tanda-tanda kamu lagi kewalahan sama ketakutan yang nggak jelas.",,Ngobrol sama terapis atau konselor bisa bantu banget untuk ngerti dan atasi rasa takut itu.
2,2,1,0,0,0,"Cemasnya lumayan, takutnya juga lumayan, gelisahnya dikit. Kamu mungkin lagi terjebak dalam ketakutan yang nggak perlu banget.",,"Coba deh ngobrol sama teman atau mentor buat ngurangin ketegangan, jadi kamu bisa lebih tenang menghadapi situasi ini."
2,2,2,0,0,0,"Cemas dan takutnya lumayan, gelisahnya juga nggak terlalu ringan. Ini berarti kamu sedang berada di situasi yang bikin kamu bingung, tapi bisa dihadapi.",,Fokus ke perencanaan dan lakukan langkah kecil. Latihan relaksasi bisa sangat membantu di sini untuk menenangkan diri kamu.
2,2,3,0,0,0,"Cemasnya sedang, takutnya sedang, gelisahnya tinggi banget. Itu berarti kamu butuh cara untuk menenangkan diri.",,Sebaiknya berbicara sama profesional atau cari dukungan dari orang terdekat untuk atasi rasa takut dan cemas ini.
2,3,1,0,0,0,"Cemasnya lumayan, takutnya tinggi banget, gelisahnya sedikit. Kamu lagi cemas banget, tapi takut yang kamu rasain nggak harus segitu juga.",,"Coba deh fokus ke langkah kecil, dan coba bicarakan dengan orang yang lebih berpengalaman buat ngurangin ketakutan itu."
2,3,2,0,0,0,"Cemasnya lumayan, takut tinggi banget, gelisahnya sedang. Ini berarti kamu perlu lebih tenang dan fokus pada hal yang bisa kamu kontrol.",,Bicara sama seseorang yang dipercaya bisa bantu ngurangin ketegangan dan bikin kamu lebih tenang.
2,3,3,0,0,0,"Cemas lumayan, takut tinggi, gelisah tinggi. Ini adalah saat yang emang sangat penuh tekanan.",,Pertimbangkan buat konsultasi sama psikolog biar bisa ngurangin ketegangan dan atasi kecemasan yang berlebihan.
3,1,1,0,0,0,"Cemasnya tinggi banget, takutnya dikit, gelisahnya sedikit. Kamu merasa cemas berlebihan tentang hal-hal kecil.",,Coba deh ambil waktu buat relaksasi atau berbicara sama orang yang kamu percayai biar lebih tenang dan nggak cemas terus.
3,1,2,0,0,0,"Cemasnya tinggi, takutnya dikit, gelisahnya agak sedang. Kamu mungkin lagi ngerasa overwhelmed banget sama kecemasan itu.",,"Cobalah menulis atau ngomong sama temen buat ngurangin kecemasan kamu. Beri waktu untuk diri sendiri, karena ini hanya sementara."
3,1,3,0,0,0,"Cemasnya tinggi banget, takutnya dikit, gelisahnya sangat tinggi. Ini tanda-tanda kamu butuh lebih banyak dukungan untuk keluar dari perasaan ini.",,"Dapatkan dukungan profesional, karena itu bisa bantu banget untuk ngatasi kecemasan yang berlebihan ini dan bantu kamu merasa lebih tenang."
3,2,1,0,0,0,"Cemas tinggi, takutnya sedang, gelisahnya sedikit. Kamu lagi terjebak dalam kecemasan yang nggak perlu.",,"Fokus ke langkah kecil dulu, dan coba berbicara dengan orang yang berpengalaman untuk meredakan ketegangan ini."
3,2,2,0,0,0,"Cemas tinggi, takut sedang, gelisahnya sedang. Ini saatnya untuk fokus pada hal yang bisa kamu kontrol.",,Meditasi atau ngobrol sama seseorang yang bisa memberi dukungan akan bantu banget untuk menenangkan diri dan meredakan ketegangan.
3,2,3,0,0,0,"Cemas tinggi, takut sedang, gelisahnya tinggi. Kamu butuh cara untuk ngelola kecemasan dan ketakutan ini.",,Pertimbangkan buat cari dukungan lebih dari seorang profesional supaya kamu bisa lebih tenang dan mendapatkan solusi.
3,3,1,0,0,0,"Cemas tinggi, takut tinggi, gelisah sedikit. Ketakutan yang berlebihan bisa jadi nggak beralasan.",,Fokus pada cara yang bisa kamu kendalikan dan ambil waktu untuk diri sendiri untuk mengatasi kecemasan ini.
3,3,2,0,0,0,"Cemas tinggi, takut tinggi, gelisah sedang. Kamu ngerasa overwhelmed dengan ketakutan yang besar.",,Bicara sama seseorang yang dipercaya bisa membantu kamu melihat hal ini dengan perspektif yang lebih baik dan menenangkan pikiran.
3,3,3,0,0,0,"Cemas tinggi banget, takut tinggi banget, gelisah sangat tinggi. Ini saatnya kamu mencari dukungan penuh.",,Cobalah untuk bertemu dengan seorang psikolog atau terapis yang bisa membantu kamu keluar dari perasaan ini dan ngurangin kecemasan yang berlebihan.
1,1,0,1,0,0,,,
1,1,0,2,0,0,,,
1,1,0,3,0,0,,,
1,2,0,1,0,0,,,
1,2,0,2,0,0,,,
1,2,0,3,0,0,,,
1,3,0,1,0,0,,,
1,3,0,2,0,0,,,
1,3,0,3,0,0,,,
2,1,0,1,0,0,,,
2,1,0,2,0,0,,,
2,1,0,3,0,0,,,
2,2,0,1,0,0,,,
2,2,0,2,0,0,,,
2,2,0,3,0,0,,,
2,3,0,1,0,0,,,
2,3,0,2,0,0,,,
2,3,0,3,0,0,,,
3,1,0,1,0,0,,,
3,1,0,2,0,0,,,
3,1,0,3,0,0,,,
3,2,0,1,0,0,,,
3,2,0,2,0,0,,,
3,2,0,3,0,0,,,
3,3,0,1,0,0,,,
3,3,0,2,0,0,,,
3,3,0,3,0,0,,,
1,1,0,0,1,0,,,
1,1,0,0,2,0,,,
1,1,0,0,3,0,,,
1,2,0,0,1,0,,,
1,2,0,0,2,0,,,
1,2,0,0,3,0,,,
1,3,0,0,1,0,,,
1,3,0,0,2,0,,,
1,3,0,0,3,0,,,
2,1,0,0,1,0,,,
2,1,0,0,2,0,,,
2,1,0,0,3,0,,,
2,2,0,0,1,0,,,
2,2,0,0,2,0,,,
2,2,0,0,3,0,,,
2,3,0,0,1,0,,,
2,3,0,0,2,0,,,
2,3,0,0,3,0,,,
3,1,0,0,1,0,,,
3,1,0,0,2,0,,,
3,1,0,0,3,0,,,
3,2,0,0,1,0,,,
3,2,0,0,2,0,,,
3,2,0,0,3,0,,,
3,3,0,0,1,0,,,
3,3,0,0,2,0,,,
